day,rain,even.total
10/1/2018,0.0254,
10/2/2018,1.8288,
10/3/2018,0.0762,
10/7/2018,0.127,
10/11/2018,1.016,
10/13/2018,0.1778,
10/15/2018,0.0508,
10/17/2018,0.0254,
10/23/2018,0.2794,
10/24/2018,0.1016,
10/27/2018,1.4986,
10/28/2018,0.254,
10/29/2018,0.4826,
10/31/2018,0.0254,
11/1/2018,1.1684,
11/2/2018,1.2954,5.4356
11/3/2018,2.9718,
11/5/2018,0.0254,
11/6/2018,0.9906,1.0414
11/7/2018,0.0254,
11/9/2018,1.7526,3.0226
11/10/2018,1.27,
11/13/2018,1.3462,1.3462
11/16/2018,0.0254,
11/17/2018,1.2192,
11/25/2018,0.4318,3.5306
11/26/2018,0.4826,
11/27/2018,2.286,
11/28/2018,0.3302,
12/2/2018,2.0066,2.0574
12/3/2018,0.0508,
6/2/2019,0.9652,
6/4/2019,0.0508,
6/5/2019,3.429,4.1148
6/6/2019,0.6858,
6/10/2019,0.2794,
6/11/2019,2.2606,2.54
6/14/2019,0.0254,
6/19/2019,0.762,
6/20/2019,5.5118,
6/22/2019,0.254,
6/25/2019,1.27,
6/26/2019,0.4572,
10/4/2019,0.2794,
10/7/2019,4.0386,4.0386
10/16/2019,0.5842,
10/17/2019,5.6896,6.6548
10/18/2019,0.381,
10/22/2019,0.508,
10/23/2019,0.762,1.27
10/25/2019,0.0254,
10/26/2019,0.0254,
10/27/2019,1.651,1.651
10/31/2019,5.9182,7.493
11/1/2019,1.5748,
11/7/2019,0.2032,
11/8/2019,0.127,
11/11/2019,0.0254,
11/15/2019,0.635,
11/19/2019,0.762,1.016
11/20/2019,0.2032,
11/21/2019,0.0508,
11/24/2019,0.0762,
11/27/2019,0.6858,1.3716
11/28/2019,0.6858,
12/2/2019,0.1016,
12/3/2019,0.0508,
12/4/2019,0.0254,
12/5/2019,0.2286,
12/7/2019,0.1778,
12/9/2019,0.2032,0.381
12/11/2019,0.2794,
12/13/2019,0.1778,
12/14/2019,0.635,0.8636
12/15/2019,0.0508,
12/18/2019,0.0254,
12/23/2019,0.2032,
3/19/2020,0.0254,
3/20/2020,0.0508,
3/24/2020,0.889,
3/29/2020,1.1176,1.8288
3/30/2020,0.6096,
3/31/2020,0.1016,
4/2/2020,0.3048,
4/3/2020,0.5588,0.8636
4/9/2020,0.762,
4/10/2020,0.381,
4/13/2020,1.778,1.778
4/21/2020,0.0254,
4/26/2020,1.8034,
4/27/2020,0.6604,2.4638
4/30/2020,0.0254,
5/1/2020,0.1778,
5/3/2020,0.0254,
5/8/2020,0.127,
5/9/2020,0.0762,
5/11/2020,1.6256,
5/12/2020,0.0508,1.6764
5/15/2020,0.254,
5/28/2020,0.1016,
5/29/2020,0.3048,
6/2/2020,0.1016,
6/3/2020,0.0254,
6/4/2020,0.0254,
6/6/2020,0.6604,
6/9/2020,0.0508,
6/11/2020,0.127,
6/24/2020,0.4064,
6/27/2020,0.1524,
6/28/2020,0.0254,
6/29/2020,1.4478,
6/30/2020,0.3302,
7/5/2020,0.3048,
7/10/2020,0.0254,
7/11/2020,0.8636,
7/12/2020,0.8636,
7/13/2020,0.0762,
7/14/2020,0.7874,
7/16/2020,0.0508,
7/17/2020,0.7366,
7/19/2020,0.381,
7/22/2020,0.0254,
7/23/2020,0.2794,
7/28/2020,0.0254,
7/30/2020,0.4826,
8/2/2020,0.0508,
8/4/2020,6.5024,6.5024
8/9/2020,0.127,
8/10/2020,0.1016,
8/11/2020,0.0508,
8/17/2020,1.397,
8/18/2020,0.2794,
8/21/2020,0.4318,
8/24/2020,0.6604,
8/25/2020,0.4318,
8/27/2020,0.127,
8/29/2020,1.4986,
9/2/2020,0.3302,
9/13/2020,0.0762,
9/26/2020,0.0254,
9/28/2020,0.3048,
9/29/2020,0.8382,
9/30/2020,4.4958,5.6388
10/1/2020,0.0254,
11/30/2020,2.5146,
12/1/2020,0.4572,2.9718
12/24/2020,1.1684,
12/25/2020,1.651,2.8194
1/4/2021,0.4064,
1/5/2021,0.0254,
1/6/2021,0.0254,
1/7/2021,0.0762,
1/12/2021,0.254,
1/13/2021,0.1016,
1/15/2021,0.0254,
1/16/2021,1.6764,
1/17/2021,0.3556,2.032
1/22/2021,0.0254,
2/3/2021,0.0762,
2/4/2021,0.5588,
2/5/2021,0.3302,
2/6/2021,0.0508,
2/10/2021,0.2286,
2/15/2021,0.0254,
2/16/2021,1.1684,
2/17/2021,0.0254,
2/19/2021,0.0762,
2/20/2021,0.0508,
2/23/2021,0.0254,
2/24/2021,0.127,
2/27/2021,0.2032,
3/1/2021,0.0508,
3/9/2021,0.1016,
3/17/2021,0.0254,
3/18/2021,0.1016,
3/26/2021,0.5334,
3/28/2021,0.5842,
3/31/2021,0.3302,
4/1/2021,0.7366,
4/15/2021,2.6416,
4/16/2021,1.8034,4.445
4/17/2021,0.0254,
4/18/2021,0.1778,
4/21/2021,1.0668,
4/22/2021,0.635,1.7018
4/28/2021,0.9398,
4/29/2021,1.016,
4/30/2021,1.6764,3.7338
5/1/2021,0.1016,
5/5/2021,2.4638,
5/6/2021,0.0508,2.5146
5/10/2021,0.0762,
5/12/2021,0.2032,
5/26/2021,0.4572,
5/30/2021,0.4318,
5/31/2021,0.0254,
6/3/2021,0.1016,
6/4/2021,0.1016,
6/5/2021,0.5842,
6/6/2021,0.0254,
6/14/2021,1.4224,
6/15/2021,0.1524,
6/19/2021,0.1778,
6/20/2021,0.3556,
6/21/2021,0.635,
6/22/2021,0.3302,
6/29/2021,0.4826,
6/30/2021,0.2032,
7/1/2021,0.0508,
7/2/2021,5.4356,5.4356
7/3/2021,1.2446,1.6002
7/4/2021,0.3556,
7/6/2021,0.3556,
7/8/2021,0.6096,
7/9/2021,2.2098,2.8194
7/13/2021,1.8796,1.8796
7/14/2021,0.7366,0.7366
7/17/2021,0.9144,
7/18/2021,3.81,4.7244
7/19/2021,0.7874,0.7874
7/20/2021,1.8288,
7/21/2021,0.1778,2.0066
7/25/2021,0.762,
7/26/2021,0.1016,
7/27/2021,1.2192,
7/29/2021,0.0508,
7/30/2021,1.0668,1.1176
8/1/2021,2.9972,
8/2/2021,0.2286,3.2258
8/7/2021,0.4572,
8/8/2021,0.0254,
8/10/2021,0.1778,
8/11/2021,1.651,1.8288
8/14/2021,0.127,
8/17/2021,0.5334,
8/18/2021,0.7112,
8/19/2021,4.2672,
8/20/2021,0.0254,5.5118
8/30/2021,0.508,
9/6/2021,0.635,
9/8/2021,2.9464,2.9464
9/15/2021,0.508,
9/16/2021,0.127,
9/24/2021,3.302,3.302
9/27/2021,0.0254,
9/29/2021,0.0254,
9/30/2021,0.0254,
10/2/2021,0.1016,
10/3/2021,0.3556,
10/4/2021,0.1778,
10/6/2021,0.0254,
10/7/2021,0.0254,
10/15/2021,0.254,
10/16/2021,2.032,
10/17/2021,0.381,
10/18/2021,0.0254,
10/21/2021,0.4826,
10/22/2021,0.3556,
10/25/2021,1.524,
10/26/2021,1.0668,
10/30/2021,1.8796,
10/31/2021,3.7592,
