DateTime,EC (mS),TP,SRP,AHS Sample Number
4/13/20 10:53,0.827,506,135,595
4/13/20 13:53,0.824,701,155,596
4/13/20 16:53,0.534,780,216,597
4/13/20 19:53,0.553,750,214,598
4/13/20 22:53,0.75,336,133,599
4/14/20 1:53,0.876,290,77.8,600
4/14/20 4:53,0.953,143,46.3,601
4/14/20 7:53,0.934,94.4,31.3,602
4/14/20 10:53,0.973,72.3,23.2,603
4/14/20 13:53,0.999,57.2,22.3,604
4/14/20 16:54,0.999,47,17.5,606
4/14/20 19:53,1.008,47.4,18.1,607
4/14/20 22:53,1.027,39,15.6,608
4/15/20 1:53,1.058,31.4,16.3,609
4/15/20 4:53,1.066,25.4,16.2,610
4/15/20 7:53,1.06,30.3,12.9,611
4/15/20 10:53,1.07,27.6,15.6,612
4/15/20 13:53,1.096,21.4,13.3,613