DateTime,EC..mS.,TP,SRP,AHS.Sample.Number
3/29/20 16:09,0.756,480,148,559
3/29/20 19:09,0.823,378,121,560
3/29/20 22:09,0.731,501,146,561
3/30/20 1:09,0.75,510,142,562
3/30/20 4:09,0.88,417,104,563
3/30/20 7:09,0.942,229,71.1,564
3/30/20 10:09,1.027,151,51.1,565
3/30/20 13:09,0.993,232,64.7,566
3/30/20 16:09,0.78,364,130,567
3/30/20 19:09,0.866,350,104,568
3/30/20 22:09,0.745,483,141,569
3/31/20 1:09,0.82,314,108,570
3/31/20 4:09,0.821,293,95,571
3/31/20 7:09,0.827,242,76.9,572
3/31/20 10:09,0.949,216,51.6,573
3/31/20 16:10,0.961,107,30.5,575
3/31/20 19:09,1.012,82.7,23.4,576
3/31/20 22:09,1.046,62.4,20.5,577