Event,Site,TP FWMC,SRP FWMC,Event Volume (m3)
10/17/19,DCSSUB,4040,,931
10/17/19,DCNSUR,5970,,45.27
10/23/19,DCSSUB,,,149.8
10/23/19,DCNSUR,2670,,2.6
10/23/19,DCNSUB,,,215.8
10/27/19,DCSSUB,,,327.8
10/27/19,DCNSUR,2790,769,11.4
10/27/19,DCNSUB,,,464.9
10/31/19,DCSSUB,1810,,890.5
10/31/19,DCSSUR,3170,,45.3
10/31/19,DCNSUR,3230,,195.2
10/31/19,DCNSUB,,,1632
11/24/19,DCSSUB,666,,
11/24/19,DCNSUB,468,,
11/28/19,DCSSUB,1190,,358
11/28/19,DCNSUB,1120,,564.3
12/10/19,DCSSUB,574,245,168.3
12/10/19,DCNSUB,538,234,339.7
12/15/19,DCSSUB,487,238,115.8
12/15/19,DCNSUR,780,404,5.956
12/15/19,DCNSUB,580,197,179
12/28/19,DCNSUR,642,141,7.178
12/28/19,DCNSUB,238,118,
12/30/19,DCSSUB,610,,277.7
12/30/19,DCNSUR,596,,29.363
12/30/19,DCNSUB,378,,563.3
1/3/20,DCSSUB,398,,121.8
1/3/20,DCNSUB,306,,170.9
1/12/20,DCSSUB,744,,856.5
1/12/20,DCSSUR,,,2.163
1/12/20,DCNSUR,930,318,9.8
1/12/20,DCNSUB,766,270,1190.1
1/26/20,DCSSUB,447,121,187.4
1/26/20,DCNSUB,468,135,286
3/3/20,DCSSUB,504,,1336.47
3/3/20,DCSSUR,382,,14.52
3/3/20,DCNSUR,380,,29.138
3/3/20,DCNSUB,413,,2077.4
3/8/20,DCSSUB,384,,283.1
3/8/20,DCSSUR,770,,6.91
3/8/20,DCNSUB,337,,589.7
3/13/20,DCSSUB,714,,161.47
3/13/20,DCSSUR,498,,
3/13/20,DCNSUB,542,,232.1