"","Date","Site","Runoff..m3.ha.","TP.conc","TP.load","SRP.conc","SRP.load","Drainage.Area..ha.","Event.Volume..m3."
"1",2019-10-17,"DCS-SUB",116.375,4040,470.2,NA,NA,8,931
"2",2019-10-17,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"3",2019-10-17,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"4",2019-10-17,"DCN-SUB",NA,NA,NA,NA,NA,4.8,NA
"5",2019-10-23,"DCS-SUB",18.725,NA,NA,NA,NA,8,149.8
"6",2019-10-23,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"7",2019-10-23,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"8",2019-10-23,"DCN-SUB",44.9583333333333,NA,NA,NA,NA,4.8,215.8
"9",2019-10-27,"DCS-SUB",40.975,1650,67.6,403,16.5,8,327.8
"10",2019-10-27,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"11",2019-10-27,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"12",2019-10-27,"DCN-SUB",96.8541666666667,NA,NA,NA,NA,4.8,464.9
"13",2019-10-31,"DCS-SUB",111.3125,1810,201.5,NA,NA,8,890.5
"14",2019-10-31,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"15",2019-10-31,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"16",2019-10-31,"DCN-SUB",340,NA,NA,NA,NA,4.8,1632
"17",2019-11-24,"DCS-SUB",NA,666,NA,NA,NA,8,NA
"18",2019-11-24,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"19",2019-11-24,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"20",2019-11-24,"DCN-SUB",NA,468,NA,NA,NA,4.8,NA
"21",2019-11-28,"DCS-SUB",44.75,1190,53.3,NA,NA,8,358
"22",2019-11-28,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"23",2019-11-28,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"24",2019-11-28,"DCN-SUB",117.5625,1120,131.7,NA,NA,4.8,564.3
"25",2019-12-10,"DCS-SUB",21.0375,574,12.1,245,5.2,8,168.3
"26",2019-12-10,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"27",2019-12-10,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"28",2019-12-10,"DCN-SUB",70.7708333333333,538,38.1,234,16.6,4.8,339.7
"29",2019-12-15,"DCS-SUB",14.475,487,7,238,3.4,8,115.8
"30",2019-12-15,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"31",2019-12-15,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"32",2019-12-15,"DCN-SUB",37.2916666666667,580,21.6,197,7.3,4.8,179
"33",2019-12-28,"DCS-SUB",NA,NA,NA,NA,NA,8,NA
"34",2019-12-28,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"35",2019-12-28,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"36",2019-12-28,"DCN-SUB",NA,238,NA,118,NA,4.8,NA
"37",2019-12-30,"DCS-SUB",34.7125,610,21.2,NA,NA,8,277.7
"38",2019-12-30,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"39",2019-12-30,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"40",2019-12-30,"DCN-SUB",117.354166666667,378,44.4,NA,NA,4.8,563.3
"41",2020-01-03,"DCS-SUB",15.225,398,6.1,NA,NA,8,121.8
"42",2020-01-03,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"43",2020-01-03,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"44",2020-01-03,"DCN-SUB",35.6041666666667,306,10.9,NA,NA,4.8,170.9
"45",2020-01-12,"DCS-SUB",107.0625,744,79.7,NA,NA,8,856.5
"46",2020-01-12,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"47",2020-01-12,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"48",2020-01-12,"DCN-SUB",247.9375,766,189.9,270,66.9,4.8,1190.1
"49",2020-01-26,"DCS-SUB",23.425,447,10.5,121,2.8,8,187.4
"50",2020-01-26,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"51",2020-01-26,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"52",2020-01-26,"DCN-SUB",59.5833333333333,468,27.9,135,8,4.8,286
"53",2020-03-03,"DCS-SUB",167.0625,504,84.2,NA,NA,8,1336.5
"54",2020-03-03,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"55",2020-03-03,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"56",2020-03-03,"DCN-SUB",432.791666666667,413,178.7,NA,NA,4.8,2077.4
"57",2020-03-08,"DCS-SUB",35.3875,384,13.6,NA,NA,8,283.1
"58",2020-03-08,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"59",2020-03-08,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"60",2020-03-08,"DCN-SUB",122.854166666667,377,46.3,NA,NA,4.8,589.7
"61",2020-03-13,"DCS-SUB",20.1875,714,14.4,NA,NA,8,161.5
"62",2020-03-13,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"63",2020-03-13,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"64",2020-03-13,"DCN-SUB",48.3541666666667,542,26.2,NA,NA,4.8,232.1
"65",2020-05-12,"DCS-SUB",NA,927.206128096812,9.867,596.7292075271,6.706,NA,1.225
"66",2020-05-12,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"67",2020-05-12,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"68",2020-05-12,"DCN-SUB",NA,1000.06355919825,28.26,635.639389351569,18.37,NA,3.497
"69",2020-08-05,"DCS-SUB",NA,265.361830062342,3.416,48.0383165341889,0.719,NA,1.594
"70",2020-08-05,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"71",2020-08-05,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"72",2020-08-05,"DCN-SUB",NA,285.091187701152,7.649,85.9107891973072,2.431,NA,3.559
"73",2020-09-30,"DCS-SUB",NA,1526.96682746041,4.185,514.786146291421,1.394,NA,0.303
"74",2020-09-30,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"75",2020-09-30,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"76",2020-09-30,"DCN-SUB",NA,1764.52920754004,17.956,572.722815170659,5.3,NA,1.073
"77",2020-12-01,"DCN-SUB",NA,460.876517747105,50.558,161.468615857312,17.107,NA,12.659
"78",2020-12-01,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"79",2020-12-01,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"80",2020-12-25,"DCN-SUB",NA,469.834897683901,140.078,163.291104571547,64.929,NA,29.988
"81",2020-12-25,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"82",2020-12-25,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"83",2021-01-17,"DCN-SUB",NA,172.832642967434,6.407,46.3531829823606,1.536,NA,4.37
"84",2021-01-17,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"85",2021-01-17,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"86",2021-03-11,"DCS-SUB",NA,454.037683377145,124.609,96.901223269449,42.982,NA,40.036
"87",2021-03-11,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"88",2021-03-11,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"89",2021-03-11,"DCN-SUB",NA,432.816228141437,136.532,127.013707428689,50.987,NA,55.026
"90",2021-04-16,"DCS-SUB",NA,524.394598793272,60.147,83.1257262975936,10.391,NA,13.817
"91",2021-04-16,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"92",2021-04-16,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"93",2021-04-16,"DCN-SUB",NA,476.382768859571,82.033,92.3020357556737,16.491,NA,20.514
"94",2021-04-22,"DCS-SUB",NA,299.97785685667,20.135,53.5457732851391,4.382,NA,6.183
"95",2021-04-22,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"96",2021-04-22,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"97",2021-04-22,"DCN-SUB",NA,303.632541834012,26.613,60.7489242434709,5.677,NA,10.071
"98",2021-04-30,"DCS-SUB",NA,588.695764225655,100.978,111.722427751938,19.035,NA,20.621
"99",2021-04-30,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"100",2021-04-30,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"101",2021-04-30,"DCN-SUB",NA,598.051662638647,134.803,133.694115894185,28.931,NA,29.717
"102",2021-05-06,"DCS-SUB",NA,852.476335655742,84.89,132.248961130068,21.33,NA,13.379
"103",2021-05-06,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"104",2021-05-06,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"105",2021-05-06,"DCN-SUB",NA,797.590081760424,124.748,164.09187972864,33.143,NA,20.847
"106",2021-07-02,"DCS-SUB",NA,144.417376436806,29.551,50.1003122094358,10.657,NA,15.757
"107",2021-07-02,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"108",2021-07-02,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"109",2021-07-02,"DCN-SUB",NA,122.098257964307,33.205,49.0632446044004,13.49,NA,17.961
"110",2021-07-03,"DCS-SUB",NA,170.630809115282,13.798,53.9945245306326,7.146,NA,8.821
"111",2021-07-03,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"112",2021-07-03,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"113",2021-07-03,"DCN-SUB",NA,110.055200896554,13.149,42.5342163761823,5.186,NA,8.356
"114",2021-07-09,"DCS-SUB",NA,301.794321355093,18.629,122.460516717675,8.13,NA,8.558
"115",2021-07-09,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"116",2021-07-09,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"117",2021-07-09,"DCN-SUB",NA,328.83780950893,24.548,131.870125276451,9.52,NA,8.939
"118",2021-07-13,"DCS-SUB",NA,363.321549411808,5.289,104.227063945944,1.695,NA,2.101
"119",2021-07-13,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"120",2021-07-13,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"121",2021-07-13,"DCN-SUB",NA,498.48814668711,6.619,194.545859200795,2.799,NA,2.46
"122",2021-07-14,"DCS-SUB",NA,283.730469951012,1.995,84.635337592447,0.733,NA,1.071
"123",2021-07-14,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"124",2021-07-14,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"125",2021-07-14,"DCN-SUB",NA,104.932212245507,1.374,34.8423804164377,0.625,NA,1.584
"126",2021-07-18,"DCS-SUB",NA,314.054855944136,66.879,90.1941227424774,20.834,NA,18.639
"127",2021-07-18,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"128",2021-07-18,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"129",2021-07-18,"DCN-SUB",NA,327.59556453906,111.067,106.580231368555,38.575,NA,21.671
"130",2021-07-19,"DCS-SUB",NA,436.570867941496,24.968,0,2.665,NA,5.331
"131",2021-07-19,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"132",2021-07-19,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"133",2021-07-19,"DCN-SUB",NA,262.066811887623,20.738,0,2.999,NA,5.999
"134",2021-07-21,"DCS-SUB",NA,398.128050053246,41.919,129.904383635707,13.315,NA,8.22
"135",2021-07-21,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"136",2021-07-21,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"137",2021-07-21,"DCN-SUB",NA,358.019063124301,48.904,118.220249844833,15.501,NA,11.085
"138",2021-07-31,"DCS-SUB",9.875,312,3.1,62.2,0.6,8,79
"139",2021-07-31,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"140",2021-07-31,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"141",2021-07-31,"DCN-SUB",13.6326530612245,251,3.5,84.7,1.2,4.9,66.8
"142",2021-08-02,"DCS-SUB",112.3125,598,67.2,105,11.8,8,898.5
"143",2021-08-02,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"144",2021-08-02,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"145",2021-08-02,"DCN-SUB",151.612244897959,831,127.3,152,23.3,4.9,742.9
"146",2021-08-20,"DCS-SUB",141.1125,348,49.1,92.6,13.1,8,1128.9
"147",2021-08-20,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"148",2021-08-20,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"149",2021-08-20,"DCN-SUB",173.428571428571,456,79.9,66,11.6,4.9,849.8
"150",2021-09-09,"DCS-SUB",24.7875,345,8.6,45.9,1.1,8,198.3
"151",2021-09-09,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"152",2021-09-09,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"153",2021-09-09,"DCN-SUB",24.0408163265306,240,5.8,50.5,1.2,4.9,117.8
"154",2021-09-24,"DCS-SUB",13.3875,648,8.7,66.2,0.9,8,107.1
"155",2021-09-24,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"156",2021-09-24,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"157",2021-09-24,"DCN-SUB",16.0816326530612,949,15.4,167,2.7,4.9,78.8
"158",2021-10-17,"DCS-SUB",45.3375,NA,NA,264,12,8,362.7
"159",2021-10-17,"DCS-SUR",NA,NA,NA,NA,NA,NA,NA
"160",2021-10-17,"DCN-SUR",NA,NA,NA,NA,NA,NA,NA
"161",2021-10-17,"DCN-SUB",49.530612244898,NA,NA,412,20.6,4.9,242.7
