Date,Site,Runoff (m3/ha),TP conc,TP load,SRP conc,SRP load,DA (ha),Volume (m3)
3/11/2021,DCS-SUR,41.55,556.9,23.1,187.9,7.8,1,41.55
3/11/2021,DCN-SUR,7.630769231,703.7,5.4,324.8,2.5,0.65,4.96
7/18/2021,DCS-SUR,#VALUE!,813,#VALUE!,212,#VALUE!,1,NA
7/18/2021,DCN-SUR,12.30769231,1270,15.6,720,8.9,0.65,8
7/19/2021,DCS-SUR,0.648,1060,0.7,340,0.2,1,0.648
7/19/2021,DCN-SUR,1.387692308,1240,1.7,568,0.8,0.65,0.902
7/21/2021,DCS-SUR,8.73,1070,9.3,NA,#VALUE!,1,8.73
7/21/2021,DCN-SUR,10.72307692,1860,19.9,604,6.5,0.65,6.97
8/1/2021,DCS-SUR,10.29,NA,#VALUE!,NA,#VALUE!,1,10.29
8/1/2021,DCN-SUR,9.953846154,NA,#VALUE!,NA,#VALUE!,0.65,6.47
8/20/2021,DCS-SUR,33.84,399,13.5,waiting analysis,#VALUE!,1,33.84
8/20/2021,DCN-SUR,3.046153846,819,2.5,waiting analysis,#VALUE!,0.65,1.98
9/24/2021,DCS-SUR,1.56,967,1.5,waiting analysis,#VALUE!,1,1.56
9/24/2021,DCN-SUR,1.923076923,4290,8.3,waiting analysis,#VALUE!,0.65,1.25
10/17/2021,DCS-SUR,4.9,waiting analysis,#VALUE!,waiting analysis,#VALUE!,1,4.9
10/17/2021,DCN-SUR,0.7061538462,waiting analysis,#VALUE!,waiting analysis,#VALUE!,0.65,0.459