AHS SF IEA,DCS SF IEA,DCN SF IEA
-0.02,0.108,0.015
-0.02,0.78,0.58
-0.1,-0.045,0.055
-0.04,-0.1196,0.08
-0.04,-0.1,0.01896
-0.02,-0.082,-0.0362
-0.02,-0.151,-0.0255
-0.02,-0.0483,-0.029
-0.02,-0.0817,-0.0245
-0.05,-0.112,-0.0258
-0.07,-0.0522,-0.0428
-0.03,-0.122,-0.0314
-0.03,-0.0315,-0.051
-0.03,-0.056,-0.0296
-0.03,0.898,-0.0404
-0.02,-0.076,-0.0408
-0.03,,-0.012
-0.03,,-0.04997
-0.01,,
-0.02,,
-0.03,,
-0.02,,
-0.03,,
-0.07,,
-0.17,,
-0.03,,
-0.07,,
-0.02,,
-0.01,,
-0.03,,
-0.07,,
-0.04,,
-0.05,,
-0.01,,
-0.03,,
-0.03,,
-0.02,,
-0.12,,
-0.06,,