DateTime,Site,EC
8052020,DCSSUR,1.001
8052020,DCSSUR,1
8052020,DCSSUR,0.976
8052020,DCSSUR,0.794
8052020,DCSSUR,0.614
8052020,DCSSUR,0.56
8052020,DCSSUR,0.53
8052020,DCSSUR,0.526
8052020,DCSSUR,0.521
8052020,DCSSUR,0.588
8052020,DCSSUR,0.566
8052020,DCSSUR,0.643
8052020,DCSSUR,0.76
8052020,DCSSUR,0.82
8052020,DCSSUR,0.859
8052020,DCSSUR,0.893
8052020,DCSSUR,1.019
8052020,DCSSUR,1.084
12252020,DCSSUR,0.734
12252020,DCSSUR,0.709
12252020,DCSSUR,0.64
12252020,DCSSUR,0.604
12252020,South,0.515
12252020,South,0.479
12252020,South,0.48
12252020,South,0.476
12252020,South,0.491
12252020,South,0.462
12252020,South,0.46
12252020,South,0.473
12252020,South,0.483
12252020,South,0.486
12252020,South,0.439
12252020,South,0.467
12252020,South,0.476
12252020,South,0.497
12252020,South,0.488
12252020,South,0.499
12252020,South,0.499
12252020,South,0.491
12252020,South,0.492
12252020,South,0.417
12252020,South,0.46
3112021,South,1.038
3112021,South,0.781
3112021,South,0.605
3112021,South,0.549
3112021,South,0.555
3112021,South,0.726
3112021,South,0.549
3112021,South,0.442
3112021,South,0.393
3112021,South,0.385
3112021,South,0.42
3112021,South,0.549
3112021,South,0.231
3112021,South,0.189
3112021,South,0.185
3112021,South,0.17
3112021,South,0.157
3112021,South,0.156
3112021,South,0.154
3112021,South,0.149
3112021,South,0.145
3112021,South,0.145
3112021,South,0.143
3112021,South,0.24
3112021,South,0.339
3112021,North,0.116
3112021,North,0.142
3112021,North,0.136
3112021,North,0.137
3112021,North,0.122
3112021,North,0.121
4162021,South,0.974
4162021,South,0.981
4302021,South,0.345
4302021,South,0.32
4302021,South,0.256
4302021,South,0.277
4302021,South,0.37
4302021,South,0.304
4302021,South,0.347
5062021,South,0.255
5062021,South,0.294
7022021,South,0.878
7022021,South,0.787
7022021,South,0.802
7022021,South,0.826
7022021,South,0.605
7022021,South,0.693
7092021,South,0.692
7092021,South,0.73
7092021,South,0.463
7182021,South,0.312
7182021,South,0.278
7182021,South,0.194
7182021,South,0.22
7182021,South,0.23
7182021,South,
7182021,South,
7182021,South,0.456
7182021,South,
7182021,South,0.154
7182021,South,0.161
7182021,South,0.153
7182021,South,0.16
7182021,South,0.166
7182021,South,0.17
7182021,South,0.159
7182021,South,0.146
7182021,South,0.188
7182021,North,0.158
7182021,North,0.145
7182021,North,0.176
7182021,North,0.154
7192021,South,0.23
7212021,South,0.087
7212021,South,0.078
7212021,South,0.079
7212021,South,0.091
7212021,South,0.153
7212021,North,0.121
7212021,North,0.075
7212021,North,0.076
7212021,North,0.093
7212021,North,0.107
7212021,North,0.133
7212021,North,0.147